transaction_id,customer_id,transaction_date,amount
1,155,2024-09-25,160.45
2,220,2024-11-21,272.98
3,277,2024-11-15,201.31
4,296,2024-12-04,476.33
5,475,2024-02-15,275.41
6,64,2024-04-22,308.09
7,319,2024-07-29,297.16
8,418,2024-04-03,337.43
9,182,2024-12-22,116.23
10,139,2024-05-03,350.11
11,345,2024-04-06,286.2
12,272,2024-08-03,127.5
13,270,2024-08-31,17.98
14,356,2024-04-01,62.7
15,359,2024-05-13,195.66
16,163,2024-12-23,182.09
17,450,2024-11-02,363.51
18,211,2024-07-30,189.01
19,183,2024-08-22,391.14
20,415,2024-07-27,399.9
21,15,2025-01-06,95.3
22,284,2024-02-28,33.46
23,359,2024-05-16,399.95
24,53,2024-02-26,82.76
25,367,2024-08-14,385.44
26,372,2024-08-21,346.63
27,281,2024-04-18,183.32
28,367,2024-06-21,421.38
29,212,2024-03-02,246.86
30,242,2024-03-11,271.16
31,50,2024-06-01,378.28
32,111,2024-12-15,420.31
33,85,2024-09-15,25.46
34,7,2024-08-20,489.97
35,42,2024-09-05,310.47
36,309,2024-12-29,184.43
37,202,2024-09-19,493.57
38,34,2024-09-24,405.19
39,111,2024-01-31,12.35
40,222,2024-08-08,419.73
41,463,2024-05-20,280.63
42,134,2024-11-06,451.48
43,203,2024-12-29,236.2
44,477,2024-10-14,47.26
45,438,2024-03-25,282.91
46,270,2024-09-15,112.66
47,476,2024-12-31,222.28
48,329,2024-04-12,347.64
49,162,2024-03-19,168.06
50,495,2024-04-25,297.07
51,469,2024-10-06,39.1
52,101,2024-01-15,50.47
53,224,2024-11-22,274.53
54,261,2024-02-08,432.95
55,466,2024-10-25,324.7
56,51,2024-11-02,351.39
57,484,2024-01-27,293.64
58,277,2024-05-23,387.63
59,77,2024-03-14,188.95
60,362,2025-01-02,40.42
61,281,2024-10-02,494.28
62,154,2024-01-21,304.06
63,45,2024-02-20,119.49
64,49,2024-05-30,318.22
65,438,2024-02-03,305.75
66,201,2024-02-14,316.66
67,491,2024-03-13,100.11
68,33,2024-11-24,167.84
69,333,2024-09-28,396.15
70,160,2024-09-23,276.0
71,124,2024-12-26,14.13
72,380,2024-02-22,353.55
73,181,2024-05-11,342.59
74,40,2024-04-02,213.32
75,408,2024-05-17,446.64
76,39,2024-12-02,172.99
77,393,2024-09-17,405.61
78,220,2024-11-22,27.29
79,277,2024-03-20,293.32
